TEGDMA,h,noz,sub,vF,vS,critLength,max x,mean x,median x,ster x,max y,mean y,median y,ster y,max x/y,mean x/y,median x/y,ster x/y,max x/max y,mean x/meany,median x/median y,ster x/ster y
20,150,FDTS,film,1.7,5.5,2,2.6842251869765397,0.7476927399392846,0.6479908107813249,0.015241406573493353,3.881525196401981,2.4119304125212273,2.3660362682186102,0.016405882563037832,537.6581956440625,1.3384553712013496,0.263542976356539,0.407625748385345,0.6915387769386914,0.3099976417469317,0.2738718841656631,0.929020826214615
20,150,FDTS,film,1.7,6.5,2,2.473970283018915,0.44596770459796115,0.40852161967440653,0.011524802282942025,4.991629471904353,2.605319143138994,2.442465712365351,0.021408319148131422,2.220455888598403,0.18920723747460153,0.15517731140411012,0.008600557279787844,0.4956237831641523,0.1711758445303715,0.16725787289713187,0.5383328884065118
20,150,FDTS,film,1.7,1.5,2,8.34247131410398,3.2045999380034167,2.838928562245871,0.014523483110594343,15.700577183773643,5.1526434191062345,4.185873750009034,0.024745128548399387,9879.518489992584,5.715338375108893,0.5443859413701934,0.539356466633276,0.5313480655173508,0.621933186007131,0.6782164804277109,0.5869229202906597
20,150,FDTS,film,1.7,2.5,2,6.362026981617275,2.026930379551316,2.017760010142075,0.013121105841331013,7.953340303642969,2.7152822101631657,2.5886308895914176,0.014982171570376212,20054.005599400378,6.965493422559325,0.6324442246163451,2.279718238717679,0.7999188691452312,0.7464897652128447,0.779469957750737,0.8757813097852232
20,150,FDTS,film,1.7,3.5,2,3.8841018480006344,1.4343353711157616,1.3493035089952223,0.015353064673949856,6.303128653116322,2.1595678860951257,2.2163711082023023,0.018532633898102505,32701.809796334546,12.227448222223213,0.5090773822453629,8.92998442618297,0.6162180818061361,0.664177023723616,0.6087895226578919,0.8284340347068424
20,150,FDTS,film,1.7,7.5,2,4.732883394299291,1.7600741272240144,1.568389443971292,0.013509674416981199,11.181224191886031,3.8078676314613547,3.4872749633368123,0.033024273372502445,3257.3033642503287,4.397368134114451,0.3564910807608476,0.5428942117536063,0.4232884801410065,0.4622204072121453,0.4497464239156446,0.40908316935839034
20,150,FDTS,film,1.7,8.5,2,3.643293860481782,0.621134327146213,0.48050528383426555,0.006750264100923594,14.040021214269268,6.13392007685353,5.373117650563132,0.04468994483688736,0.883042191012875,0.1288168738336092,0.09182470477721154,0.001599061933112401,0.25949347261519806,0.1012622139453815,0.08942764984569172,0.15104659729523504
20,150,FDTS,film,1.7,9.5,2,1.773836719198384,0.548896919599613,0.4759733101482124,0.00696369477179392,12.054708435361524,5.162854904540668,4.387824118806837,0.04794003271057525,0.8126201860378722,0.1300559646800101,0.09631167685459573,0.002004185343301118,0.1471488695649391,0.10631654961228229,0.10847593186520928,0.14525844848365685
20,150,FDTS,film,1.9,4.5,2,2.645719316140963,0.8531959179915678,0.7803649765717571,0.009987104267469994,5.112132210374176,2.689988473748299,2.5430626100191835,0.014318938840111754,468.22247362436144,1.5309763637256695,0.2793528496406876,0.25353628450093635,0.517537342006128,0.317174562760376,0.3068603083137896,0.6974751676076052
20,150,FDTS,film,1.9,5.5,2,4.344627183126776,0.8893428057857412,0.439064032937351,0.016386775983691596,6.5062164350559835,2.9648012200530895,2.7158894162429004,0.02185414061367367,331.0854336427972,0.9851015616283662,0.13250042397178213,0.15593604887365453,0.6677655479946222,0.29996709383768266,0.1616649154827306,0.7498247711208896
20,150,FDTS,film,1.9,6.5,2,2.9873152834020162,0.7872803720612467,0.6281561065269143,0.009548033995194598,8.885091822398335,4.048482871813056,3.894333374539488,0.02207829205743798,48.63407868834327,0.2441889771491177,0.15954216313658065,0.016653419521018578,0.3362165910172503,0.1944630610993975,0.16130003420705988,0.43246252791451545
