tegdma,h (um),noz,sub,vf (mm/s),column,dep var,index,vs (mm/s),Period (s),StdEr period (s),Period (mm),StdEr period (mm),Top value,StdEr top value,Bot value,StdEr bot value,Amplitude,StdEr amplitude
25,150,FDTS,film,1.5,40,up right to left pressure (Pa),6,5.5,0.451689090070829,0.03831542447666118,2.4842899953895596,0.2107348346216365,-10.296186170420555,10.714249553612634,-177.409798783542,4.050954354754834,179.08190677764395,9.621623705897536
25,150,FDTS,film,1.5,41,up right to mid pressure (Pa),6,5.5,0.44067228299594774,0.016409232839436513,2.4236975564777126,0.09025078061690082,102.89353536681021,6.550737828596452,251.63500263225035,4.10569788478284,142.81128375104618,8.818950672933786
25,150,FDTS,film,1.5,42,up left to mid pressure (Pa),6,5.5,0.4627058971457245,0.05775628165040763,2.544882434301485,0.317659549077242,404.55662039219607,4.799579794477247,166.1642189421046,16.4318045646212,232.99134816388064,17.398822173642046
25,150,FDTS,film,1.5,43,down right to left pressure (Pa),6,5.5,0.8372773376922851,0.2727722276414445,4.605025357307568,1.5002472520279446,251.6453580920477,4.338202099549151,28.426698927229225,14.475042839185631,233.45672488692196,13.986736551384684
25,150,FDTS,film,1.5,44,down right to mid pressure (Pa),6,5.5,0.44067228299593353,0.1361325849026566,2.4236975564776344,0.7487292169646113,79.8396979701525,16.86336619252897,267.73531075270625,6.209999394162871,197.23395008020475,15.008615422111545
25,150,FDTS,film,1.5,45,down left to mid pressure (Pa),6,5.5,0.9254117942914633,0.260280518063704,5.089764868603048,1.4315428493503721,0.3998860847188723,0.1731064694654981,47.04266933386468,5.109046873682452,46.61289578609096,5.153185894215147
25,150,FDTS,film,1.5,46,SL contact angle (deg),6,5.5,0.4627058971457245,0.009049011984981297,2.544882434301485,0.04976956591739713,148.27945885834114,0.2661764100247161,170.40727833324647,0.9200341188824979,20.90829494444266,0.9999696270781461
25,150,FDTS,film,1.5,47,BL contact angle (deg),6,5.5,0.46270589714573873,0.1547287701556679,2.544882434301563,0.8510082358561735,3.0349308687028747,0.10517119086767909,1.2296604388190846,0.09511247877703925,2.0576699606673987,0.05897625722379237
25,150,FDTS,film,1.5,48,SiL contact angle (deg),6,5.5,0.451689090070829,0.006170646214623452,2.4842899953895596,0.03393855418042899,35.869080503670304,0.38552190989913077,21.398414876793936,0.25419023563423976,14.257342772873816,0.4282953690609229
25,150,FDTS,film,1.5,49,SL contact point channel dist (mm),6,5.5,0.44067228299593353,0.006618612701668717,2.4236975564776344,0.03640236985917795,0.034860758374357384,0.0029386623161102824,-0.6924286700640965,0.014823343421258099,0.7364377231357929,0.01398945014681129
25,150,FDTS,film,1.5,50,SiL contact point nozzle dist (mm),6,5.5,0.45168909007083613,0.010202667251553561,2.4842899953895987,0.05611466988354459,0.1951678493020324,0.0012300150574953992,0.14408130796698582,0.0015420946504631793,0.05132365750125106,0.0010959121300907614
25,150,FDTS,film,1.5,51,Laplace pressure upstream to downstream,6,5.5,0.4627058971457245,0.03315692410679097,2.544882434301485,0.18236308258735034,35.52788292908815,17.48964900863524,409.48563697987015,7.765210221966275,361.73708144472835,17.653439482516443
25,150,FDTS,film,1.5,4,up right noz dist (mm),7,6.5,0.4627058971457245,0.291802445795853,3.0075883314472094,1.8967158976730447,0.0702080461144154,0.005834858173880759,0.01230094229192095,0.003529976803965716,0.058455639489156344,0.003291305490303438
25,150,FDTS,film,1.5,5,up right sub dist (mm),7,6.5,0.41863866884614254,0.25739001258520416,2.7211513474999265,1.673035081803827,0.08882640306277548,0.00658503049143987,0.1646150576301315,0.005426853120466401,0.07517085689765873,0.004051636967635913
25,150,FDTS,film,1.5,6,up right Si dist (mm),7,6.5,0.37457144054656055,0.05979324888863528,2.4347143635526436,0.3886561177761293,0.7222481865058714,0.005790019330426692,0.5895979133944553,0.004228193232325405,0.13265027311141608,0.00759675637827453
25,150,FDTS,film,1.5,7,up left noz dist (mm),7,6.5,0.4186386688461283,0.05178942429594955,2.721151347499834,0.3366312579236721,0.12041887735343744,0.0016265667904117394,0.0339965712771876,0.003182180946880958,0.08132359776466996,0.0039994464161796865
25,150,FDTS,film,1.5,8,up left sub dist (mm),7,6.5,0.4186386688461283,0.05368642207752468,2.721151347499834,0.3489617435039104,0.021640785208883236,0.000556324031126611,0.08213740495876631,0.003169116005226772,0.06061130563890882,0.00319002327560286
25,150,FDTS,film,1.5,9,up left Si dist (mm),7,6.5,0.40762186177123283,0.05532563318022096,2.6495421015130134,0.35961661567143627,0.3408615361513024,0.013303652290430748,-0.08910831462363258,0.008062272619545363,0.4253957034262654,0.01615664374541762
25,150,FDTS,film,1.5,10,up mid noz dist (mm),7,6.5,0.37457144054653213,0.02111593388692527,2.434714363552459,0.13725357026501425,0.09981481173428232,0.001675003336792537,0.13801841942708248,0.0016707538696779432,0.03632071131144196,0.0010125654272501537
25,150,FDTS,film,1.5,11,up mid sub dist (mm),7,6.5,0.38558824762143473,0.019040051941380868,2.5063236095393258,0.12376033761897565,0.051613238556220714,0.0008709703756874489,0.013569297465863429,0.0007559336737845906,0.04038034457382422,0.0012943181695019893
25,150,FDTS,film,1.5,12,up mid Si dist (mm),7,6.5,0.39660505469633733,0.058465174111973835,2.5779328555261927,0.38002363172782994,0.4323444831246928,0.0029497860776466615,0.5512723141901004,0.00708623860179835,0.10977953636806853,0.006147676509705888
25,150,FDTS,film,1.5,13,down right noz dist (mm),7,6.5,0.37457144054653213,0.013813582722621934,2.434714363552459,0.08978828769704257,0.07496848437965259,0.0009805780983326126,0.0036304355003419927,0.0012698336109241077,0.07124825805861482,0.0013603071795263019
25,150,FDTS,film,1.5,14,down right sub dist (mm),7,6.5,0.39660505469635154,0.035950576046865516,2.577932855526285,0.23367874430462585,0.1946156510726701,0.0013744776527960998,0.07802256973585209,0.006981482292705863,0.11308321385719985,0.007068361185154603
25,150,FDTS,film,1.5,15,down right Si dist (mm),7,6.5,0.37457144054654634,0.007117225617606142,2.434714363552551,0.04626196651443992,-0.08535870850871503,0.0015840825079969907,-0.1774702974336227,0.0062050034291685225,0.0920996002516147,0.006319334441092276
25,150,FDTS,film,1.5,16,down left noz dist (mm),7,6.5,0.37457144054656055,0.11477342896574058,2.4347143635526436,0.7460272882773138,0.02981159967517007,0.003000497128962718,0.08991039817213335,0.0025571867401066426,0.05446051944844851,0.003838131752556744
25,150,FDTS,film,1.5,17,down left sub dist (mm),7,6.5,1.575403411710468,0.716092459868392,10.240122176118042,4.654600989144548,0.0009092049031807399,0.002135571558814887,0.02156284134133763,0.0017005962976840035,0.02058930228514737,0.0038329010149970606
25,150,FDTS,film,1.5,18,down left Si dist (mm),7,6.5,0.37457144054656055,0.13980698356057955,2.4347143635526436,0.9087453931437671,-0.4505707938813913,0.04616608525400397,-1.3871323470763737,0.015248688013928466,0.9617193636126649,0.056857911738817775
25,150,FDTS,film,1.5,19,down mid noz dist (mm),7,6.5,0.38558824762144184,0.008726611565326453,2.506323609539372,0.056722975174621944,0.09822071111652864,0.0020351097590312044,0.004461508617785742,0.0010861286098254748,0.09490191805509057,0.002435529629879753
25,150,FDTS,film,1.5,20,down mid sub dist (mm),7,6.5,0.30847059809713073,0.03559570162577025,2.0050588876313498,0.23137206056750662,0.0006175829606255783,0.002011178272542977,0.08312900099027988,0.0032006886903958804,0.08281300641135153,0.0032131571348842187
25,150,FDTS,film,1.5,21,down mid Si dist (mm),7,6.5,0.39660505469635154,0.0121749369339249,2.577932855526285,0.07913709007051185,-0.08708362622835751,0.021601074194463544,-1.1033589704075237,0.02351680159720082,1.0396165704913947,0.03360844273808176
25,150,FDTS,film,1.5,22,up right outer radius (mm),7,6.5,0.38558824762144184,0.01630708853678833,2.506323609539372,0.10599607548912414,-0.7176884534171474,0.020259184111807653,-0.4278329749677038,0.009967904451200481,0.2709426230692338,0.013659610945353548
25,150,FDTS,film,1.5,23,up right inner radius (mm),7,6.5,0.37457144054654634,0.06577721336962335,2.434714363552551,0.42755188690255175,0.17804517187929442,0.0002809746421834882,0.17788589883557748,0.0002827835245237497,0.000180218132963067,0.000021096831135238967
25,150,FDTS,film,1.5,24,up right Laplace pressure (Pa),7,6.5,0.3966050546963231,0.0195010970493118,2.5779328555261003,0.1267571308205267,170.7058182134888,2.105670050033191,141.69701172960163,1.7126082816830392,28.746764257297542,1.1207005165325568
25,150,FDTS,film,1.5,25,up left outer radius (mm),7,6.5,0.41863866884614254,0.094494423638549,2.7211513474999265,0.6142137536505685,-0.31550731986281344,0.01711083054587231,-0.16484194305592487,0.006898020840757315,0.16430987618031617,0.01316509178362388
25,150,FDTS,film,1.5,26,up left inner radius (mm),7,6.5,0.37457144054654634,0.06577721336962335,2.434714363552551,0.42755188690255175,0.17804517187929442,0.0002809746421834882,0.17788589883557748,0.0002827835245237497,0.000180218132963067,0.000021096831135238967
25,150,FDTS,film,1.5,27,up left Laplace pressure (Pa),7,6.5,0.44067228299593353,0.09836711158254269,2.864369839473568,0.6393862252865274,121.60706999110826,9.37804333137335,-3.026873358035368,8.316795840610407,135.24030636530225,8.597924622341212
25,150,FDTS,film,1.5,28,up mid outer radius (mm),7,6.5,0.5067731254453349,0.19185433603061644,3.294025315394677,1.247053184199007,0.781333639234631,0.10995446524148121,0.22011558033415773,0.21962552046022676,0.6526093275327223,0.21251143390982033
25,150,FDTS,film,1.5,29,up mid inner radius (mm),7,6.5,0.37457144054654634,0.06577721336962335,2.434714363552551,0.42755188690255175,0.17804517187929442,0.0002809746421834882,0.17788589883557748,0.0002827835245237497,0.000180218132963067,0.000021096831135238967
