x,y,position
33.90973218,-15,-140.5986232
35.69445492,-15,-140.5986232
37.47917767,-15,-145.1727705
39.26390041,-15,-140.5986232
41.04862316,-15,-140.5986232
42.83334591,-15,-140.5986232
44.61806865,-15,-149.7469179
46.4027914,-15,-140.5986232
48.18751415,-15,-149.7469179
49.97223689,-15,-140.5986232
51.75695964,-15,-140.5986232
53.54168238,-15,-145.1727705
55.32640513,-15,-145.1727705
57.11112788,-15,-149.7469179
58.89585062,-15,-149.7469179
60.68057337,-15,-154.3210652
62.46529611,-15,-145.1727705
64.25001886,-15,-145.1727705
66.03474161,-15,-149.7469179
67.81946435,-15,-145.1727705
69.6041871,-15,-158.8952126
71.38890985,-15,-154.3210652
73.17363259,-15,-149.7469179
74.95835534,-15,-154.3210652
76.74307808,-15,-149.7469179
78.52780083,-15,-158.8952126
80.31252358,-15,-154.3210652
82.09724632,-15,-149.7469179
83.88196907,-15,-149.7469179
85.66669181,-15,-158.8952126
87.45141456,-15,-172.6176546
89.23613731,-15,-149.7469179
91.02086005,-15,-149.7469179
92.8055828,-15,-154.3210652
0,-20,-117.7278864
2.181327801,-20,-126.8761811
4.362655602,-20,-136.0244758
6.543983402,-20,-131.4503285
8.725311203,-20,-131.4503285
10.906639,-20,-126.8761811
13.0879668,-20,-126.8761811
15.26929461,-20,-131.4503285
17.45062241,-20,-131.4503285
19.63195021,-20,-131.4503285
21.81327801,-20,-131.4503285
23.99460581,-20,-136.0244758
26.17593361,-20,-136.0244758
28.35726141,-20,-149.7469179
30.53858921,-20,-136.0244758
32.71991701,-20,-136.0244758
34.90124481,-20,-136.0244758
37.08257261,-20,-145.1727705
39.26390041,-20,-145.1727705
41.44522822,-20,-163.4693599
43.62655602,-20,-140.5986232
45.80788382,-20,-136.0244758
47.98921162,-20,-140.5986232
50.17053942,-20,-149.7469179
52.35186722,-20,-145.1727705
54.53319502,-20,-145.1727705
56.71452282,-20,-154.3210652
58.89585062,-20,-149.7469179
61.07717842,-20,-149.7469179
63.25850622,-20,-149.7469179
65.43983402,-20,-154.3210652
67.62116183,-20,-154.3210652
69.80248963,-20,-163.4693599
71.98381743,-20,-154.3210652
74.16514523,-20,-154.3210652
76.34647303,-20,-158.8952126
78.52780083,-20,-154.3210652
80.70912863,-20,-154.3210652
82.89045643,-20,-154.3210652
85.07178423,-20,-154.3210652
87.25311203,-20,-168.0435073
89.43443983,-20,-163.4693599
91.61576763,-20,-158.8952126
0,-25,-122.3020338
2.181327801,-25,-122.3020338
4.362655602,-25,-126.8761811
6.543983402,-25,-126.8761811
8.725311203,-25,-122.3020338
10.906639,-25,-126.8761811
13.0879668,-25,-126.8761811
15.26929461,-25,-126.8761811
17.45062241,-25,-126.8761811
19.63195021,-25,-131.4503285
21.81327801,-25,-131.4503285
23.99460581,-25,-131.4503285
26.17593361,-25,-131.4503285
28.35726141,-25,-131.4503285
30.53858921,-25,-136.0244758
32.71991701,-25,-140.5986232
34.90124481,-25,-140.5986232
37.08257261,-25,-163.4693599
39.26390041,-25,-145.1727705
41.44522822,-25,-140.5986232
43.62655602,-25,-140.5986232
45.80788382,-25,-136.0244758
47.98921162,-25,-136.0244758
50.17053942,-25,-149.7469179
52.35186722,-25,-145.1727705
54.53319502,-25,-145.1727705
56.71452282,-25,-145.1727705
58.89585062,-25,-149.7469179
61.07717842,-25,-149.7469179
63.25850622,-25,-149.7469179
65.43983402,-25,-149.7469179
67.62116183,-25,-154.3210652
69.80248963,-25,-158.8952126
71.98381743,-25,-154.3210652
74.16514523,-25,-158.8952126
76.34647303,-25,-158.8952126
78.52780083,-25,-158.8952126
80.70912863,-25,-172.6176546
82.89045643,-25,-168.0435073
85.07178423,-25,-158.8952126
87.25311203,-25,-163.4693599
89.43443983,-25,-158.8952126
91.61576763,-25,-163.4693599
93.79709544,-25,-177.191802
0,-30,-131.4503285
